product,image_file,image_url,image_candidates_json,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt
"【2/3 Packages Shipping】Ovios 108\"" U-Shaped Modern Sofa Modular Sectional Cloud Couch with 2 Ottoman, Comfy Chenille Deep Seat Sofa Bed with 5 Pillows for Livin",2-3-packages-shipping-ovios-108-u-shaped-1732282938510054238.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/688a7b274fad44218ec9e10bb7c98208.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/688a7b274fad44218ec9e10bb7c98208.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/688a7b274fad44218ec9e10bb7c98208~tplv-fhlh96nyum-crop-webp:2000:2000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",566.22,1180000.0,4.0,5.0,28.31,398.0,10,,https://shop.tiktok.com/view/product/1732282938510054238,"Adding the 【2/3 Packages Shipping】Ovios 108\"" U-Shaped Mode to my cart before I change my mind. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
"【2 Packages Shipping】GOSUHI 108\"" U-Shaped Modular Sectional Sofa - Comfy Cloud 3-Seater with 2 Movable Ottoman, Cloud Sofa,Deep Seat Linen Couch for Living Roo",2-packages-shipping-gosuhi-108-u-shaped--1731438296477111249.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/4205bc477df74882ad4f06d077e07c42.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/4205bc477df74882ad4f06d077e07c42.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/4205bc477df74882ad4f06d077e07c42~tplv-fhlh96nyum-crop-webp:2048:2048.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",563.49,1670000.0,27.9,9.0,50.71,1290.0,7,,https://shop.tiktok.com/view/product/1731438296477111249,"Run, do not walk, to grab the 【2 Packages Shipping】GOSUHI 108\"" U-Shaped Modul. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
Skullcandy Crusher Evo - Bass Headphones with Personal Sound | True Wireless | Bluetooth 5.0 | Built-in Microphone Portable Audio Headphones Headset Audio,skullcandy-crusher-evo-bass-headphones-w-1731084063732043853.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/61d9d08e9fca45b5a45b3a3ba4794c81.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/61d9d08e9fca45b5a45b3a3ba4794c81.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/61d9d08e9fca45b5a45b3a3ba4794c81~tplv-fhlh96nyum-crop-webp:1080:1080.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",104.19,974660.0,268.9,7.0,7.29,975.0,8,,https://shop.tiktok.com/view/product/1731084063732043853,"Run, do not walk, to grab the Skullcandy Crusher Evo - Bass Headphones with Pe. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
Mellow Sleep | MarshMellow Comforter - Double-Stuffed Ultra-Soft A-Class Fabric Heat-Adaptive Vegan Fill OEKO-TEX Certified Machine Washable,mellow-sleep-marshmellow-comforter-doubl-1732017379984117841.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/039da591e3dc465bb0a95f97fe80a6f0.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/039da591e3dc465bb0a95f97fe80a6f0.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/039da591e3dc465bb0a95f97fe80a6f0~tplv-fhlh96nyum-crop-webp:1080:1080.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",86.07,1480000.0,3.8,15.0,12.91,2520.0,10,,https://shop.tiktok.com/view/product/1732017379984117841,I can not believe how good the Mellow Sleep is for the price. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Comfrt | The Dreamer Blanket | Oversized, Cozy, Soft Warm Throw",comfrt-the-dreamer-blanket-oversized-coz-1729931833196778371.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/14497ef68337484d8920b224e90915a5.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/14497ef68337484d8920b224e90915a5.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/14497ef68337484d8920b224e90915a5~tplv-fhlh96nyum-crop-webp:4000:4000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",85.41,1750000.0,38.9,10.0,8.54,2710.0,10,,https://shop.tiktok.com/view/product/1729931833196778371,POV: you found the Comfrt before everyone else did. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
[medicube] Affordable Glass Glow Skincare Set | Includes 8 products for Gentle Skin Glow Routine,medicube-affordable-glass-glow-skincare--1729606769780232427.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/9d044ebb2aaf4920b2d68832c9633dd0.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/9d044ebb2aaf4920b2d68832c9633dd0.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/9d044ebb2aaf4920b2d68832c9633dd0~tplv-fhlh96nyum-crop-webp:1000:1000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",84.52,974020.0,-1.3,15.0,12.68,4040.0,9,,https://shop.tiktok.com/view/product/1729606769780232427,Me telling you to grab the Affordable Glass Glow Skincare Set before it sells out again. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Advanced Food Intolerance Labs Food Sensitivity Vitamins & Gut Health Test 1000+ Items Tested for Sensitivities Nutrient Imbalances & Heavy Metals,advanced-food-intolerance-labs-food-sens-1730664019526258810.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/3fd2808dcaba464caf7c36ba2320d6c4.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/3fd2808dcaba464caf7c36ba2320d6c4.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/3fd2808dcaba464caf7c36ba2320d6c4~tplv-fhlh96nyum-crop-webp:2000:2000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",74.42,930990.0,57.8,20.0,14.88,1130.0,10,,https://shop.tiktok.com/view/product/1730664019526258810,The Advanced Food Intolerance Labs Food Sensitivity  is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"[NEW] [medicube] Gatekeeping My Real Age Set | 5-step Longevity, Anti- Aging Routine l PDRN & Volufiline & Collagen & NAD+ EGF Complex l Cares for Look of Fine ",new-medicube-gatekeeping-my-real-age-set-1732363645554692331.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/6903720363ba4bd7b1ceb7f3ddae340b.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/6903720363ba4bd7b1ceb7f3ddae340b.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/6903720363ba4bd7b1ceb7f3ddae340b~tplv-fhlh96nyum-crop-webp:2000:2000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",71.92,1780000.0,-8.9,15.0,10.79,3810.0,10,,https://shop.tiktok.com/view/product/1732363645554692331,Consider this your reminder to grab the Gatekeeping My Real Age Set you keep eyeing. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
[Dr.Melaxin Official] Gifted Collagen Boost Set Pore Spot Skin Care Calcium Collagen Volume Firming Balm for Enhanced Skin Health routine,dr-melaxin-official-gifted-collagen-boos-1731997246433955867.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/60593f61e24149a784702250f7f98a72.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/60593f61e24149a784702250f7f98a72.png"", ""https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/60593f61e24149a784702250f7f98a72~tplv-fhlh96nyum-crop-webp:600:600.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",56.06,1350000.0,25.3,15.0,8.41,2270.0,10,,https://shop.tiktok.com/view/product/1731997246433955867,Me telling you to grab the Gifted Collagen Boost Set Pore Spot Skin Care Ca before it sells out again. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"BASED Deluxe Straight/Wavy Hair Kit | Shampoo, Conditioner, Texture Powder, Hair Clay, Pomade, Sea Salt Spray + Wooden Comb | Science-Backed, High Performance",based-deluxe-straight-wavy-hair-kit-sham-1732307769700553014.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/4f6f3aada7bb44568f48e065189b73b5.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/4f6f3aada7bb44568f48e065189b73b5.png"", ""https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/4f6f3aada7bb44568f48e065189b73b5~tplv-fhlh96nyum-crop-webp:1500:1500.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",53.28,878200.0,17.7,10.0,5.33,423.0,7,,https://shop.tiktok.com/view/product/1732307769700553014,This is your sign to finally grab the BASED Deluxe Straight/Wavy Hair Kit. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
