product,image_file,image_url,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt
"Shinesty Mens Mystery Boxer Brief W/Fly 7-Pack - Ball Hammock® Pouch Support, Standard Length 6 Inch Inseam, Silky Soft, Stretchy, Breathable Natural MicroModal",shinesty-mens-mystery-boxer-brief-w-fly--1732418775013757543.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/d578a68fb80b4a048d943e34960be437.png,209.93,3990.0,43.0,15.0,31.49,20.0,10,,https://shop.tiktok.com/view/product/1732418775013757543,"Trust me, you want the Shinesty Mens Mystery Boxer Brief W/Fly 7-Pack - in your cart today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
Grey “Rhinestone” Hoodie,grey-rhinestone-hoodie-1730672521932345769.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e7cd395b1a9d46d9bd9dc3e1c76fd5db.png,109.0,981.0,37.0,20.0,21.8,9.0,10,,https://shop.tiktok.com/view/product/1730672521932345769,"Trust me, you want the Grey “Rhinestone” Hoodie in your cart today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
COOFANDY Mens Sport Coat Casual Blazer One Button Business Suit Jacket Classic Menswear Fashion Outfit Vneck Long Sleeve,coofandy-mens-sport-coat-casual-blazer-o-1729430076357382153.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e70e2a04367641b48dfe0e5c2ea2b6b7.png,97.49,8870.0,145.7,10.0,9.75,51.0,9,,https://shop.tiktok.com/view/product/1729430076357382153,POV: you found the COOFANDY Mens Sport Coat Casual Blazer One Butto before everyone else did. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"YND Men's 3-Piece Long Sleeve Classic Business Office Suit Set - Formal Menswear with Vest, Pants, Tie for Wedding, Party (Beige, Black),sohochic",ynd-men-s-3-piece-long-sleeve-classic-bu-1729458283583869173.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/5b6a4f67db134976876f1fa313c5ee65.png,79.95,4240.0,31.5,10.0,8.0,55.0,8,,https://shop.tiktok.com/view/product/1729458283583869173,Do NOT scroll past the YND Men's 3-Piece Long Sleeve Classic Business O if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Aelfric Eden Solid Color Embroidered Hoodie Set one-on-Tone Brand Embroidery Relaxed Fit Unisex Casual Loungewear Set,sohochic",aelfric-eden-solid-color-embroidered-hoo-1732533589621314146.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/4a5eb2d1af03448db735e54209e327b7.png,73.61,1690.0,111.8,10.0,7.36,32.0,9,,https://shop.tiktok.com/view/product/1732533589621314146,"Run, do not walk, to grab the Aelfric Eden Solid Color Embroidered Hoodie Set . 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
mnml Hooded Sprayed Ripstop Jacket - Camo,mnml-hooded-sprayed-ripstop-jacket-camo-1732365127593529726.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/342ddca6b03943b1aee7abc20bf6ad7f.png,59.67,4120.0,355.1,10.0,5.97,16.0,9,,https://shop.tiktok.com/view/product/1732365127593529726,Adding the mnml Hooded Sprayed Ripstop Jacket - Camo to my cart before I change my mind. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Black Jack Mike Straight Cargo Jeans - Black Wash,black-jack-mike-straight-cargo-jeans-bla-1730705114541757288.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/83977a3b09f242c195dd0e67cf1e57f3.png,54.99,1540.0,53.1,15.0,8.25,11.0,10,,https://shop.tiktok.com/view/product/1730705114541757288,Adding the Black Jack Mike Straight Cargo Jeans - Black Was to my cart before I change my mind. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Aelfric Eden Unisex Ribbed Striped Boxy Cropped Zip-Up Hoodie, Sailor Collar, Contrast Stripe Sleeves, Stretch Knit Fabric, Everyday Fit Daily Casual Streetwear",aelfric-eden-unisex-ribbed-striped-boxy--1732351394676642402.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/999eb9b3c5a943e1a7e6cfb766dc704f.png,52.86,1060.0,33.0,10.0,5.29,44.0,7,,https://shop.tiktok.com/view/product/1732351394676642402,"If you have been waiting on the Aelfric Eden Unisex Ribbed Striped Boxy Cropped , now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
"Eddie Bauer | Men’s Getaway Flex 2.0 Classic Fit Chino Pants, 2-Way Stretch, Moisture-Wicking for Everyday Wear",eddie-bauer-men-s-getaway-flex-2-0-class-1732465328870298126.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/b87da345c9b247c7a203a44a44f78d3c.png,52.0,1660.0,61.1,12.0,6.24,10.0,9,,https://shop.tiktok.com/view/product/1732465328870298126,Me telling you to grab the Eddie Bauer before it sells out again. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
JMIERR Men's Crewneck Sweater Soft Casual Sweaters Classic Long Sleeve Pullover Sweaters with Ribbing Edge,jmierr-men-s-crewneck-sweater-soft-casua-1729542705151775083.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/77aa5e68bae74cd09abe1234e87e6752.png,50.65,1160.0,87.2,10.0,5.07,20.0,9,,https://shop.tiktok.com/view/product/1729542705151775083,"If you have been waiting on the JMIERR Men's Crewneck Sweater Soft Casual Sweate, now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
