product,image_file,image_url,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt,scan_status,cut_reason,cut_tiktok_link,market,currency
"PSD Mens Essentials Boxer Brief 6 Pack - Standard Length 7 Inch Inseam, Soft and Breathable Cotton Fabric",psd-mens-essentials-boxer-brief-6-pack-s-1729482146874890047.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/3b599d1c29cd40428032d78e4c10536e.png,80.0,1760.0,112.1,10.0,8.0,13.0,8,,https://shop.tiktok.com/view/product/1729482146874890047,Consider this your reminder to grab the PSD Mens Essentials Boxer Brief 6 Pack - Standar you keep eyeing. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"Pioneer Camp Men's Lightweight Packable Hooded Heated Puffer Jacket - Male Clothing, Windproof, Thermal Long Sleeve, Full Zip Front, 6-Pocket, Insulated, Breath",pioneer-camp-men-s-lightweight-packable--1729461168099856453.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/41dbce3d47124a479db0824c7ea3c30b.png,60.0,660.0,31.8,10.0,6.0,37.0,10,,https://shop.tiktok.com/view/product/1729461168099856453,POV: you found the Pioneer Camp Men's Lightweight Packable Hooded H before everyone else did. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
mnml Camo Zip Up Hoodie - Green,mnml-camo-zip-up-hoodie-green-1732279492984738174.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/26899441b6b04f56929fcf81a75660c4.png,60.0,600.0,87.0,10.0,6.0,14.0,9,,https://shop.tiktok.com/view/product/1732279492984738174,"I am so sorry if you already grabbed an mnml Camo Zip Up Hoodie - Green, because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Aelfric Eden Work Pants Office Outfits Button Front Pleated High‑Rise Barrel Wide Leg Textured Fabric Loose Fit Casual Streetwear Unisex,aelfric-eden-work-pants-office-outfits-b-1732533586026664546.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/b8b3ae48cd174c5a90168c49a1059a2d.png,51.0,816.0,31.6,10.0,5.1,25.0,9,,https://shop.tiktok.com/view/product/1732533586026664546,The Aelfric Eden Work Pants Office Outfits Button Fr is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Kingapril Men's Sherpa Fleece Lined Denim Jacket Warm Winter Trucker Jacket Cowboy Jean Jacket Casual Soft,kingapril-men-s-sherpa-fleece-lined-deni-1729565523404690078.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/6e10f1cd88c64de984eaef865c1d5ed3.png,50.0,1800.0,49.6,10.0,5.0,53.0,10,,https://shop.tiktok.com/view/product/1729565523404690078,"Trust me, you want the Kingapril Men's Sherpa Fleece Lined Denim Jacket in your cart today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
GSM ' Dark Navy' Fleece Hoodie,gsm-dark-navy-fleece-hoodie-1729414414023496436.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/ffd8a4ccef4f4879a88ab95b09030af2.png,50.0,1100.0,138.9,14.0,7.0,5.0,7,,https://shop.tiktok.com/view/product/1729414414023496436,"Trust me, you want the GSM ' Dark Navy' Fleece Hoodie in your cart today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"Aelfric Eden Men's Cotton Baggy Sweatpants - Plaid Patchwork, Double Drawstring Elastic Waist, Stripe Accents, Pockets, Unisex Vintage Chic Cute Sexy Streetwear",aelfric-eden-men-s-cotton-baggy-sweatpan-1729986987284861538.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/93d7e9776d8f4642a3990cc3daa3537b.png,49.0,3530.0,37.2,10.0,4.9,92.0,7,,https://shop.tiktok.com/view/product/1729986987284861538,"If you have been waiting on the Aelfric Eden Men's Cotton Baggy Sweatpants - Pla, now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"Sopula Studio Men's Zip Up Graphic Hoodie - Saints Stamp Collage, Vitruvian Man Vintage Art, Casual Fall Streetwear Tops, Mensfashion Clothing",sopula-studio-men-s-zip-up-graphic-hoodi-1731956105990214115.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/dad63cdc30d14de187fe0e9ea86fe312.png,47.0,1270.0,85.9,13.0,6.11,29.0,7,,https://shop.tiktok.com/view/product/1731956105990214115,"Run, do not walk, to grab the Sopula Studio Men's Zip Up Graphic Hoodie - Sain. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
4-Pack Men's Joggers with Zipper Pockets Lightweight Cuffed Stretch Sweatpants Athleisure Outfit Big Guy Pants Athletic Workout Running Gym Fit for Spring & Sum,4-pack-men-s-joggers-with-zipper-pockets-1730805819608699219.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/7e13f2d84f4e44a4959d9db02ff9e5b5.png,42.0,1720.0,39.2,10.0,4.2,30.0,7,,https://shop.tiktok.com/view/product/1730805819608699219,I can not believe how good the 4-Pack Men's Joggers with Zipper Pockets Lightwe is for the price. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"3-Pack Men's Polo Shirts – Soft Breathable Cotton, Comfortable Short Sleeve Casual Fit, Classic Collared Polo Shirts for Work, Golf, Travel & Everyday Wear",3-pack-men-s-polo-shirts-soft-breathable-1731734955425763667.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/19df529fe7044ec69c5e192d8ffd667d.png,41.0,2750.0,30.3,10.0,4.1,67.0,7,,https://shop.tiktok.com/view/product/1731734955425763667,"Run, do not walk, to grab the 3-Pack Men's Polo Shirts – Soft Breathable Cotto. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
