product,image_file,image_url,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt
"Men's 3-Pcs Jacquard Stand Collar Henley Tops - Menswear, Longsleeves, Neckline Button, Minimalist Street Sporty Chic Casual Chic Sweatshirt, Casual Wear",men-s-3-pcs-jacquard-stand-collar-henley-1732499500741006314.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/d96a3176ea3148378a5d9939d1a8ce2d.png,119.0,26890.0,52.5,10.0,11.9,50.0,7,,https://shop.tiktok.com/view/product/1732499500741006314,Me telling you to grab the Men's 3-Pcs Jacquard Stand Collar Henley Tops -  before it sells out again. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"PSD Mens Mystery Boxer Brief 10-Pack Bundle - Standard Length 7 Inch Inseam, Soft, Stretchy, and Breathable Poly Blend Fabric",psd-mens-mystery-boxer-brief-10-pack-bun-1731537314539148095.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/ece5eef9b25f41bb9293578cfde05352.png,99.99,39400.0,-8.3,10.0,10.0,53.0,9,,https://shop.tiktok.com/view/product/1731537314539148095,The PSD Mens Mystery Boxer Brief 10-Pack Bundle - St everyone has been asking me about is finally back. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"HOMUG 4 Pack Tactical Pants for Men , Ripstop Work Pants for Men, Lightweight Hiking Cargo Pants, Outdoor Apparel, Suitable for Outdoor Sports, Training, Campin",homug-4-pack-tactical-pants-for-men-rips-1732274482025828548.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/df0eff81712e4ba0bdb2cbaf8e236228.png,92.18,25350.0,-25.4,10.0,9.22,76.0,9,,https://shop.tiktok.com/view/product/1732274482025828548,"If you have been waiting on the HOMUG 4 Pack Tactical Pants for Men, now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
"Dickies | Blanket Lined Duck Canvas Jacket,100% Cotton,Zippered Chest Pocket,Bi-Swing Back,Adjustable Cuffs,Waist Snaps,Classic Workwear Style",dickies-blanket-lined-duck-canvas-jacket-1732482901591822655.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/f3882182b3bf4a9d998985012d4dcf31.png,85.36,24330.0,267.2,12.0,10.24,26.0,10,,https://shop.tiktok.com/view/product/1732482901591822655,This is your sign to finally grab the Dickies. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Aelfric Eden Pinstripe Baggy Barrel Jeans High Waist Balloon Barrel Silhouette Pinstripe Denim Fabric Pleated Waist Detail Heavyweight Denim Retro Streetwear Un,aelfric-eden-pinstripe-baggy-barrel-jean-1732423194888999522.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/984823a74a0d426094207b727807ee69.png,80.82,32170.0,9.6,10.0,8.08,77.0,10,,https://shop.tiktok.com/view/product/1732423194888999522,Me telling you to grab the Aelfric Eden Pinstripe Baggy Barrel Jeans High W before it sells out again. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Aelfric Eden Men's 2-Piece Matching Sets - Boxy Graphic Zip-Up Hoodie & Drawstring Waist Baggy Sweatpants, Streetwear Embroidered Outfit,sohochic",aelfric-eden-men-s-2-piece-matching-sets-1732506924362535522.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/f34dd2504c19420eb40d362338642b95.png,76.02,27370.0,314.5,10.0,7.6,59.0,9,,https://shop.tiktok.com/view/product/1732506924362535522,Do NOT scroll past the Aelfric Eden Men's 2-Piece Matching Sets - Boxy  if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"PSD Mens Mystery Boxer Brief 6-Pack - Standard Length 7 Inch Inseam, Soft, Stretchy, and Breathable Poly Blend Fabric",psd-mens-mystery-boxer-brief-6-pack-stan-1731537308876706623.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/d5ba5d4800594a868a50187e9ce666ad.png,69.99,25480.0,13.5,10.0,7.0,94.0,8,,https://shop.tiktok.com/view/product/1731537308876706623,The PSD Mens Mystery Boxer Brief 6-Pack - Standard L is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"HOMUG Men's 4-Pack Tactical Cargo Pants are crafted from a brand-new 230g/m² fabric, featuring multiple pockets and zipper closures. Available in a variety of c",homug-men-s-4-pack-tactical-cargo-pants--1732253266243654550.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/db5040eddd58452b87e40a3d7414c58e.png,68.07,28320.0,40.9,10.0,6.81,48.0,6,,https://shop.tiktok.com/view/product/1732253266243654550,POV: you found the HOMUG Men's 4-Pack Tactical Cargo Pants are craf before everyone else did. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Men's 4-Pack Long Tactical Cargo Pants - Male Clothing, Utility/Military Style, Casual Fit, Mid-Waist with Elastic Waistband & Buttons, 10 Pockets, Breathable P",men-s-4-pack-long-tactical-cargo-pants-m-1731460103448138254.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/6ded08f5d4e24436a47a216ce902a8f2.png,68.0,28970.0,-40.2,8.0,5.44,31.0,10,,https://shop.tiktok.com/view/product/1731460103448138254,Stop overthinking the Men's 4-Pack Long Tactical Cargo Pants - Male Cl and just tap the cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Aelfric Eden Men's Soft Polyester-Cotton Plaid Patchwork Sweatpants - Double Waist, Washed, Loose Wide Leg, Pockets, 2000s Vintage Preppy Fashion Streetwear Bas",aelfric-eden-men-s-soft-polyester-cotton-1731345366918337122.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/5ec300841b51471c9b1509d7b20fafc0.png,67.57,24860.0,14.9,11.0,7.43,128.0,5,,https://shop.tiktok.com/view/product/1731345366918337122,"If you have been waiting on the Aelfric Eden Men's Soft Polyester-Cotton Plaid P, now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
