product,image_file,image_url,image_candidates_json,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt
"【DealsforYouDays 】MILESEEY Handheld Golf GPS Rangefinder, 43000+ No Subscription Preloaded Courses, View & Audible Distances,Touchscreen, 15H Battery, Magnetic,",dealsforyoudays-mileseey-handheld-golf-g-1732392855472935067.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/f9d5f585e41544dba640dccf40877138.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/f9d5f585e41544dba640dccf40877138.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/f9d5f585e41544dba640dccf40877138~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",499.99,17500.0,150.0,13.0,65.0,64.0,10,,https://shop.tiktok.com/view/product/1732392855472935067,The 【DealsforYouDays 】MILESEEY Handheld Golf GPS Ran is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"NOBULL Women's Allday Knit Shoe in Beige Camo - Everyday Walking Sneaker, Comfortable Slip-On Shoe, Casual Trainer",nobull-women-s-allday-knit-shoe-in-beige-1731646384828093304.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/5cfdbd5ecada46ec87f76be579fe16cd.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/5cfdbd5ecada46ec87f76be579fe16cd.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/5cfdbd5ecada46ec87f76be579fe16cd~tplv-fhlh96nyum-crop-webp:1890:1890.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",150.0,20400.0,116.3,12.0,18.0,78.0,9,,https://shop.tiktok.com/view/product/1731646384828093304,"If you have been waiting on the NOBULL Women's Allday Knit Shoe in Beige Camo - , now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
"3-Wedge Set, featuring 54°, 60°, and the iconic 69° wedge",3-wedge-set-featuring-54-60-and-the-icon-1729762590765322485.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/418793d55e59478d83152318060a3829.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/418793d55e59478d83152318060a3829.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/418793d55e59478d83152318060a3829~tplv-fhlh96nyum-crop-webp:1080:1080.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",150.0,15150.0,69.3,15.0,22.5,80.0,6,,https://shop.tiktok.com/view/product/1729762590765322485,POV: you found the 3-Wedge Set before everyone else did. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Basepaws Dog DNA Test Kit – 300+ Breeds, 280+ Genetic Health Risks, and 30+ Traits - 1 Pack - Comprehensive Dog DNA test for Ancestry & Health Care, Health Scre",basepaws-dog-dna-test-kit-300-breeds-280-1729880689947414646.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/f07c3d18f0a44f5693ff8f8b5703e1bb.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/f07c3d18f0a44f5693ff8f8b5703e1bb.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/f07c3d18f0a44f5693ff8f8b5703e1bb~tplv-fhlh96nyum-crop-webp:2000:2000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",132.63,17240.0,475.7,15.0,19.89,97.0,7,,https://shop.tiktok.com/view/product/1729880689947414646,Do NOT scroll past the Basepaws Dog DNA Test Kit – 300+ Breeds if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Fitville Men's Walking Sneakers LugMax V3, Wide Fit Slip-On Outdoor Shoes with Non-Slip Sole, Breathable PU Leather for Hiking & Casual Wear, Non Slip Shoes, Br",fitville-men-s-walking-sneakers-lugmax-v-1730198445192548928.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/409d943df4674913959e8a8747104b5b.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/409d943df4674913959e8a8747104b5b.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/409d943df4674913959e8a8747104b5b~tplv-fhlh96nyum-crop-webp:1600:1600.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",114.35,20010.0,105.1,12.0,13.72,38.0,10,,https://shop.tiktok.com/view/product/1730198445192548928,The Fitville Men's Walking Sneakers LugMax V3 is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Clinique Black Honey Head to Toe Collection | Jeselle's Favorites (6 products),clinique-black-honey-head-to-toe-collect-1732439988367954273.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/98318b04009041689e88b2bb58503e32.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/98318b04009041689e88b2bb58503e32.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/98318b04009041689e88b2bb58503e32~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",107.3,33480.0,39.1,12.0,12.88,91.0,10,,https://shop.tiktok.com/view/product/1732439988367954273,The Clinique Black Honey Head to Toe Collection is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"CEO's Bundle - Cata-Kor Liposomal Glutathione 500 mg, NMN 1000 mg, NAD+ Advanced 500 mg, CA AKG 1000 mg, Biotin, MSM, TMG, Hyaluronic Acid Capsule Supplements C",ceo-s-bundle-cata-kor-liposomal-glutathi-1732353200834253022.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast8-i-rt0ujvrtvp-tx2/644b04fda64a450a93edaa049f46b5a0.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast8-i-rt0ujvrtvp-tx2/644b04fda64a450a93edaa049f46b5a0.png"", ""https://p16-oec-general-useast8.ttcdn-us.com/tos-useast8-i-rt0ujvrtvp-tx2/644b04fda64a450a93edaa049f46b5a0~tplv-fhlh96nyum-crop-webp:1500:1500.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",103.49,44190.0,37.2,20.0,20.7,95.0,8,,https://shop.tiktok.com/view/product/1732353200834253022,Stop overthinking the CEO's Bundle - Cata-Kor Liposomal Glutathione 50 and just tap the cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
ADIDAS Originals Samba OG Womens Shoes,adidas-originals-samba-og-womens-shoes-1731897391642022325.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e31145d8ca54479ab084ba52207b6b38.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e31145d8ca54479ab084ba52207b6b38.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/e31145d8ca54479ab084ba52207b6b38~tplv-fhlh96nyum-crop-webp:1000:1286.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",99.99,28000.0,80.0,12.0,12.0,68.0,10,,https://shop.tiktok.com/view/product/1731897391642022325,Adding the ADIDAS Originals Samba OG Womens Shoes to my cart before I change my mind. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Vans Unisex Premium Classic Slip-On Low Top Shoe,vans-unisex-premium-classic-slip-on-low--1732525142569422888.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/7b31c561008b41eca5282014a28fb6b8.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/7b31c561008b41eca5282014a28fb6b8.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/7b31c561008b41eca5282014a28fb6b8~tplv-fhlh96nyum-crop-webp:1920:2400.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=e1be8f53&idc=useast5&from=2378011839""]",99.46,28050.0,184.3,14.0,13.92,56.0,10,,https://shop.tiktok.com/view/product/1732525142569422888,Consider this your reminder to grab the Vans Unisex Premium Classic Slip-On Low Top Shoe you keep eyeing. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
NIKE Varsity Elite Backpack,nike-varsity-elite-backpack-1732395191533081013.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e88408fa698848f98c68452ce7c9ab38.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e88408fa698848f98c68452ce7c9ab38.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/e88408fa698848f98c68452ce7c9ab38~tplv-fhlh96nyum-crop-webp:1000:1287.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",94.99,21750.0,38.5,12.0,11.4,67.0,8,,https://shop.tiktok.com/view/product/1732395191533081013,I can not believe how good the NIKE Varsity Elite Backpack is for the price. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
