product,image_file,image_url,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt,scan_status,cut_reason,cut_tiktok_link,market,currency
"【2/3 Packages Shipping】Ovios 108\"" U-Shaped Modern Sofa Modular Sectional Cloud Couch with 2 Ottoman, Comfy Chenille Deep Seat Sofa Bed with 5 Pillows for Livin",2-3-packages-shipping-ovios-108-u-shaped-1732282938510054238.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/688a7b274fad44218ec9e10bb7c98208.png,579.8,1440000.0,18.8,5.0,28.99,621.0,9,,https://shop.tiktok.com/view/product/1732282938510054238,"Stop overthinking the 【2/3 Packages Shipping】Ovios 108\"" U-Shaped Mode and just tap the cart. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"GOSUHI | 108\"" U-Shaped Modular Cloud Sofa, 3-Seater Sectional with 2 Movable Ottomans,Deep Seat,Chenille,Linen,SohoChic",gosuhi-108-u-shaped-modular-cloud-sofa-3-1731438296477111249.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/0540fb5398834e89b523def9b8dd764b.png,566.25,782560.0,-37.3,8.0,45.3,1270.0,9,,https://shop.tiktok.com/view/product/1731438296477111249,I can not believe how good the GOSUHI is for the price. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"ECOFLOW DELTA 3 Classic Portable Power Station with 160 or 220W Solar Panel, Solar Charging, LiFePO4 Battery, 1800W AC/100W USB-C Output",ecoflow-delta-3-classic-portable-power-s-1731873208066543876.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/55eef58148534068964f9c021c1bb3f7.png,395.93,1250000.0,999.9,7.0,27.72,690.0,7,,https://shop.tiktok.com/view/product/1731873208066543876,Do NOT scroll past the ECOFLOW DELTA 3 Classic Portable Power Station w if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Shark Rocket Pet Pro Cordless Stick Vacuum - IZ162HC,shark-rocket-pet-pro-cordless-stick-vacu-1732443974127555248.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/3d767f850e1048da801075eeeb385542.png,288.47,1610000.0,60.0,5.0,14.42,340.0,9,,https://shop.tiktok.com/view/product/1732443974127555248,I can not believe how good the Shark Rocket Pet Pro Cordless Stick Vacuum - IZ1 is for the price. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Shark BlastBoss Indoor-Outdoor Air Blasting System - AB2111,shark-blastboss-indoor-outdoor-air-blast-1732321210476827312.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/b0a8a93b88804f0481d6ffed0d3231dc.png,144.03,857420.0,-16.2,5.0,7.2,554.0,9,,https://shop.tiktok.com/view/product/1732321210476827312,Consider this your reminder to grab the Shark BlastBoss Indoor-Outdoor Air Blasting Syst you keep eyeing. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"SNOWCLAD 10-Pc & 14-Pc Hybrid Nonstick Stainless Steel Cookware Sets with Thermal Lids - Saucepan, Frying Pans, Pot Sets for Cooking Nonstick, Oven/Dishwasher S",snowclad-10-pc-14-pc-hybrid-nonstick-sta-1731040771305934988.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/739f2c10763d4cb78230db349762cb6b.png,141.93,1030000.0,-6.0,11.0,15.61,986.0,9,,https://shop.tiktok.com/view/product/1731040771305934988,"Trust me, you want the SNOWCLAD 10-Pc & 14-Pc Hybrid Nonstick Stainless in your cart today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Shark StainForce Cordless Portable Stain Cleaner - HX104,shark-stainforce-cordless-portable-stain-1732461173812335280.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/46dda5c64fd74bdaa9debe1109ef752a.png,138.65,1420000.0,33.7,5.0,6.93,726.0,8,,https://shop.tiktok.com/view/product/1732461173812335280,Stop overthinking the Shark StainForce Cordless Portable Stain Cleaner and just tap the cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Shark WandVac Cordless Handheld Vacuum - WV201/WV205,shark-wandvac-cordless-handheld-vacuum-w-1732305963897557680.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/56965aa8f0db43abbd7e5caa1738aac2.png,125.57,1300000.0,-28.5,5.0,6.28,733.0,9,,https://shop.tiktok.com/view/product/1732305963897557680,Consider this your reminder to grab the Shark WandVac Cordless Handheld Vacuum - WV201/W you keep eyeing. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"SEESE Cordless Electric Weed Wacker, 3 Different Blades for Lawn Trimming & Edging, with 2 Batteries, Lightweight Design - Suitable for Yard, Garden​",seese-cordless-electric-weed-wacker-3-di-1732407423159669066.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/0bf320074ed248c98a4f27f7ce0a4fec.png,101.25,1240000.0,-61.3,5.0,5.06,498.0,9,,https://shop.tiktok.com/view/product/1732407423159669066,"Trust me, you want the SEESE Cordless Electric Weed Wacker in your cart today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"Comfrt | The Dreamer Blanket | Oversized, Cozy, Soft Warm Throw",comfrt-the-dreamer-blanket-oversized-coz-1729931833196778371.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/14497ef68337484d8920b224e90915a5.png,92.0,2410000.0,-18.0,9.0,8.28,3600.0,9,,https://shop.tiktok.com/view/product/1729931833196778371,Stop overthinking the Comfrt and just tap the cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
