product,image_file,image_url,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,source_creator,source_creator_name,source_creator_revenue,source_creator_rank,source_creators_all,creator_item_sold,caption,scene_prompt,scan_status,cut_reason,cut_tiktok_link,market,currency
HEYDUDE Austin Lift Clog - Comfortable Slip on Shoes for Women,heydude-austin-lift-clog-comfortable-sli-1732435788029006384.jpg,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/39ec22962f904cf982bf3b69cbd4fde9~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,66.74,191690.0,,10.0,6.67,,10,heydude,https://shop.tiktok.com/view/product/1732435788029006384,@kelseyyyshops,Kelsey,625700.0,1,@kelseyyyshops,2720.0,"If you have been waiting on the HEYDUDE Austin Lift Clog - Comfortable Slip on S, now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Skechers Arch Fit Arcade Washable Canvas SlipOn Casual Sneakers,skechers-arch-fit-arcade-washable-canvas-1732489249715229639.jpg,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/56177dffc54b4f2d8f1d08f45df49393~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,62.44,79320.0,,18.0,11.24,,9,qvc inc,https://shop.tiktok.com/view/product/1732489249715229639,@kelseyyyshops,Kelsey,625700.0,1,@kelseyyyshops,1260.0,Me telling you to grab the Skechers Arch Fit Arcade Washable Canvas SlipOn  before it sells out again. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Clarks Collection Loafers -Westlynn Ayla,clarks-collection-loafers-westlynn-ayla-1731966485847774151.jpg,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/56177dffc54b4f2d8f1d08f45df49393~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,67.2,20760.0,,15.0,10.08,,8,qvc inc,https://shop.tiktok.com/view/product/1731966485847774151,@kelseyyyshops,Kelsey,625700.0,1,@kelseyyyshops,306.0,Adding the Clarks Collection Loafers -Westlynn Ayla to my cart before I change my mind. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Clarks Collection Leather Ankle Boots -Caroline Spice,clarks-collection-leather-ankle-boots-ca-1731765759267279815.jpg,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/9564a4752a424c2aad3e4061980c100f~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,93.95,20110.0,,18.0,16.91,,7,qvc inc,https://shop.tiktok.com/view/product/1731765759267279815,@kelseyyyshops,Kelsey,625700.0,1,@kelseyyyshops,214.0,Consider this your reminder to grab the Clarks Collection Leather Ankle Boots -Caroline  you keep eyeing. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Crocs Women's On The Clock Work Flats,crocs-women-s-on-the-clock-work-flats-1732271182344524734.jpg,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/01903cc611814f0f9673364b1f1e0e3c~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,31.79,19260.0,,10.0,3.18,,9,crocs,https://shop.tiktok.com/view/product/1732271182344524734,@kelseyyyshops,Kelsey,625700.0,1,@kelseyyyshops,594.0,The Crocs Women's On The Clock Work Flats is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Crocs Women's Getaway Strappy Sandals,crocs-women-s-getaway-strappy-sandals-1730697408540152766.jpg,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/52d81d1cc60b4e5f8c2b5bd87e0c086d~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,29.99,16450.0,,10.0,3.0,,8,crocs,https://shop.tiktok.com/view/product/1730697408540152766,@kelseyyyshops,Kelsey,625700.0,1,"@kelseyyyshops, @bekahlynnewithtwins",542.0,"I am so sorry if you already grabbed an Crocs Women's Getaway Strappy Sandals, because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
"Crocs Women's Miami Round Toe Flip Flops, Summer Sandals",crocs-women-s-miami-round-toe-flip-flops-1729499883366684606.jpg,https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/52d81d1cc60b4e5f8c2b5bd87e0c086d~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,30.68,58970.0,,10.0,3.07,,8,crocs,https://shop.tiktok.com/view/product/1729499883366684606,@sophmademebuyit,Soph🦋,585620.0,2,@sophmademebuyit,1710.0,"Trust me, you want the Crocs Women's Miami Round Toe Flip Flops in your cart today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Vans Unisex Classic Slip-On Checkerboard Low Top Shoe,vans-unisex-classic-slip-on-checkerboard-1729484007778260008.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/0c6b945071304c998a56543c3a7ee737.png,60.0,22800.0,,15.0,9.0,,7,vans,https://shop.tiktok.com/view/product/1729484007778260008,@sophmademebuyit,Soph🦋,585620.0,2,@sophmademebuyit,380.0,Consider this your reminder to grab the Vans Unisex Classic Slip-On Checkerboard Low Top you keep eyeing. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Project Cloud Women's Genuine Leather Platform Clogs | Walking Girl Shoes Footwear | ProjectPlush | Lightweight Non-Slip – Benton Chunky,project-cloud-women-s-genuine-leather-pl-1731581796563259960.jpg,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/88985b14283540b9b8277fb7fa03b2e1~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,49.9,17110.0,,10.0,4.99,,9,project cloud,https://shop.tiktok.com/view/product/1731581796563259960,@sophmademebuyit,Soph🦋,585620.0,2,@sophmademebuyit,344.0,This is your sign to finally grab the Project Cloud Women's Genuine Leather Platform C. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
Project Cloud Women's | Genuine Suede Clogs for Women  Memory Foam Water Resistant Clogs Non-Slip Platform Comfort Woman Shoes Classic Girl Footwear - Goldstar,project-cloud-women-s-genuine-suede-clog-1731581882351194680.jpg,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/e549b541b53d409b93af5672966b7f7e~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,48.91,46400.0,,10.0,4.89,,9,project cloud,https://shop.tiktok.com/view/product/1731581882351194680,@bekahlynnewithtwins,Bekah found your shoes,410990.0,3,@bekahlynnewithtwins,905.0,"I am so sorry if you already grabbed an Project Cloud Women's, because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,US,USD
