product,image_file,image_url,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,source_creator,source_creator_name,source_creator_revenue,source_creator_rank,source_creators_all,creator_item_sold,caption,scene_prompt,scan_status,cut_reason,cut_tiktok_link,market,currency
"Halara Women's High Waisted Straight Leg Work Trousers with Side Pockets, Smart & Casual Look for Office and Beyond, Lightweight & Elegant, Minimalist Comfort Basic Womenswear #tik",halara-women-s-high-waisted-straight-leg-1729429759208230637.jpg,https://p19-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/aab37bb35c554335a07ea2801f4ee302~tplv-t5fjg24jzw-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,31.44,156430.0,,11.0,3.46,,7,halara uk,https://shop.tiktok.com/view/product/1729429759208230637,@camilla.finds,Cami,31990.0,1,"@camilla.finds, @more.nevaeh, @eves444x",5070.0,I can not believe how good the Halara Women's High Waisted Straight Leg Work Tr is for the price. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
"Halara Flex High Waisted Work Pants — Slight Flare & No Zippers for All-Day Comfort, 4-Way Stretch Office to Off-Duty Trousers with Back Pockets #tiktokshopmademebuylt #summer #dea",halara-flex-high-waisted-work-pants-slig-1729469133401459954.jpg,https://p16-oec-general.tiktokcdn-eu.com/tos-alisg-i-aphluv4xwc-sg/75a30909838d4ffabc17205c74b6b6a6~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,31.73,83200.0,,10.0,3.17,,7,halara.wardrobe,https://shop.tiktok.com/view/product/1729469133401459954,@camilla.finds,Cami,31990.0,1,"@camilla.finds, @more.nevaeh",2840.0,The Halara Flex High Waisted Work Pants — Slight Fla is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
"BellaVita Luxury's Honey Oud | Eau de Parfum | Patchouli, Vanilla, Bergamot | Floral & Spicy | Made with Clean & Vegan Essentials Oils",bellavita-luxury-s-honey-oud-eau-de-parf-1729466893833768299.jpg,https://p19-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/2d5aeac3463c49c081fb80e409b31d17~tplv-t5fjg24jzw-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,25.7,30870.0,,12.0,3.08,,9,bellavita uk,https://shop.tiktok.com/view/product/1729466893833768299,@camilla.finds,Cami,31990.0,1,"@camilla.finds, @more.nevaeh",1220.0,This is your sign to finally grab the BellaVita Luxury's Honey Oud. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
FeelinGirl  Seamless Covered Bust Jumpsuit Thong Bodysuit Fit Comfort  Womenswear 1 Breathable Hip Tops Nylon,feelingirl-seamless-covered-bust-jumpsui-1729456099251949261.jpg,https://p19-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/15feb10e82af45bebd9f2f3b07ba4b70~tplv-t5fjg24jzw-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,29.76,17000.0,,12.0,3.57,,9,FeelinGirl-UK,https://shop.tiktok.com/view/product/1729456099251949261,@camilla.finds,Cami,31990.0,1,@camilla.finds,578.0,POV: you found the FeelinGirl  Seamless Covered Bust Jumpsuit Thong before everyone else did. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
"PUFFIT STM-TEX Elevated Cropped Rain Jacket With Drawstring Hem,WaterProof,Stain Resistant,Windproof,Women's Rain Jacket,Breathable Stylish,Outdoor Sport,Autumn Jacket,School Runni",puffit-stm-tex-elevated-cropped-rain-jac-1729806780608781101.jpg,https://p19-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/4881f7185f014247b8b988e25f163511~tplv-t5fjg24jzw-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,47.14,15680.0,,8.0,3.77,,10,PUFFIT.UK.SHOP,https://shop.tiktok.com/view/product/1729806780608781101,@camilla.finds,Cami,31990.0,1,@camilla.finds,329.0,The PUFFIT STM-TEX Elevated Cropped Rain Jacket With is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
Halara UltraSculpt™ High Waisted Scrunch Butt Lifting Tummy Control Pocket Shaping Training Leggings,halara-ultrasculpt-high-waisted-scrunch--1729505508145797869.jpg,https://p19-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/3740476b073b44e894561dfdca810dc8~tplv-t5fjg24jzw-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,31.32,28510.0,,11.0,3.45,,9,halara uk,https://shop.tiktok.com/view/product/1729505508145797869,@more.nevaeh,Nevaeh,16270.0,2,"@more.nevaeh, @eves444x",944.0,Your future self will thank you for grabbing the Halara UltraSculpt™ High Waisted Scrunch Butt Li today. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
FYNE Golden FYNE’D Bundles,fyne-golden-fyne-d-bundles-1729912885134727551.jpg,https://img.kalocdn.com/tiktok.product.images/tos-no1a-i-t5fjg24jzw-no/d07b671d38e74653888da262bbbc2130.png,40.62,12100.0,,10.0,4.06,,8,fyne cosmetics,https://shop.tiktok.com/view/product/1729912885134727551,@taliawebb8,Talia Webb,11370.0,3,@taliawebb8,298.0,"Trust me, you want the FYNE Golden FYNE’D Bundles in your cart today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
"Long Sleeve Collared Denim Jacket for Women, Drop Shoulder Curved Hem Denim, Classic Button Down Denim Jacket with Chest Pockets, Fashion Women's Clothing for Daily Wear, Vintage W",long-sleeve-collared-denim-jacket-for-wo-1729406811286244600.jpg,https://p16-oec-general.tiktokcdn-eu.com/tos-maliva-i-o3syd03w52-us/6d53a97367c94c15b3cb18198b5366b6~tplv-o3syd03w52-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,38.67,18910.0,,8.0,3.09,,8,PAOLA RIBONI,https://shop.tiktok.com/view/product/1729406811286244600,@emmalouisehutton,Emma Hutton,10140.0,4,@emmalouisehutton,512.0,This is your sign to finally grab the Long Sleeve Collared Denim Jacket for Women. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
"PUFFIT STM-TEX Short Oversized Rain Jacket With Bubble Hem,Loose Fit,Autumn Hooded Jacket,Waterproof Jacket,Lightweight,Wide-Brim Hood,Adjustable Cuffs,Outdoor,Winter Jacket,Windbr",puffit-stm-tex-short-oversized-rain-jack-1729758200487320365.jpg,https://p19-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/a5ba23606547422f8d4a9460cc137cca~tplv-t5fjg24jzw-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,54.93,15010.0,,8.0,4.39,,9,PUFFIT.UK.SHOP,https://shop.tiktok.com/view/product/1729758200487320365,@emmalouisehutton,Emma Hutton,10140.0,4,@emmalouisehutton,284.0,"Trust me, you want the PUFFIT STM-TEX Short Oversized Rain Jacket With  in your cart today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
"Wellgard Peach Perfect for Women Pink Lemonade Flavour 420 grams - Creatine Monohydrate Powder for Energy, Performance, Stamina & Muscles, Formula with Creatine, Collagen, BCAAs, C",wellgard-peach-perfect-for-women-pink-le-1729521292961487469.jpg,https://img.kalocdn.com/tiktok.product.images/tos-no1a-i-t5fjg24jzw-no/f70d8d85c53948c2b1e067fa718fa062.png,30.43,21600.0,,10.0,3.04,,7,wellgard,https://shop.tiktok.com/view/product/1729521292961487469,@eves444x,Evie🧚‍♀️🧁✨,8880.0,5,@eves444x,815.0,Your future self will thank you for grabbing the Wellgard Peach Perfect for Women Pink Lemonade F today. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
